Country,Region,ConfirmedCases,Fatalities,Ratio Cases Vs fatalities,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),GDP (Billions. PPP) USD,GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment %per,Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Armenia,Europe,532,3,177.333333333333,47,24,67.7,57.2,46.3,38.6,84.7,79,53,78.3,71.4,77.8,80.8,75,70,2.1,26,20,21.3,26.4,3,28.3,7.5,3.6,9456,18.2,0.9,245.7,53.5,4.676799774,0.058595356,4.791646481,4.561953068,9.100476265,0.757479429,66.75065613,0.712017834,-0.13877961,0.773544788,1.972316742,0.808262408,1.034576893,0.77585727,0.378075808,0.107225738,0.104618184,1.468161583
Costa Rica,Americas,347,2,173.5,61,11,65.3,58.3,54,54.5,79.2,88.4,42.5,67.2,55.2,83.2,81.4,70,50,1.8,25,30,23.6,19.6,5,83.9,3.2,3.4,16877,8.1,1.6,3007.1,49.1,7.121399879,0.044816118,7.209239483,7.033560276,9.658156395,0.901545942,71.29985046,0.934738934,-0.10242971,0.786332428,1.972316742,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092,2.953135014
Kazakhstan,Asia-Pacific,343,2,171.5,59,12,65.4,59.3,56.1,40.3,93.4,83.7,41,73.9,86.2,70.9,80,50,50,2.5,10,20,12.8,23.3,18.2,477.6,4,3.3,26252,4.9,7.4,4633.7,21.2,6.057899952,0.043229785,6.1426301,5.973169804,10.11465836,0.934744895,64.60996246,0.811601937,-0.068488635,0.764490843,1.972316742,1.122594237,1.453267694,0.698788941,0.497432142,0.153713793,0.110463686,2.021602631
Thailand,Asia-Pacific,1651,10,165.1,43,10,68.3,53.7,45.9,36.4,81.3,85.8,96.5,82.5,63.9,75.2,83,55,60,3.5,35,20,15.6,21.8,69.1,1233.7,3.9,2.8,17856,1.1,0.7,7635.2,41.9,5.998799801,0.042596295,6.082288742,5.91531086,9.741791725,0.889973223,67.25059509,0.905063033,0.268685192,0.886272311,1.972316742,1.007029295,1.347519517,0.793855846,0.609449804,0.376709014,0.031837862,1.832384109
Saudi Arabia,Middle East and North Africa,1563,10,156.3,91,9,60.7,55,62.7,49.8,99.8,57.5,19.4,72.3,63.3,78.1,76,45,50,4.5,2.5,2.5,3.4,37.6,32.4,1773.6,-0.7,2.3,54777,5.5,-0.9,1421,17.3,6.406499863,0.056533612,6.517305851,6.295693874,10.79781246,0.874067068,66.30514526,0.854191244,-0.168695062,0.682619512,1.972316742,1.334328532,1.309950113,0.759818137,0.548477471,0.087440684,0.163322315,2.203118801
Belarus,Europe,152,1,152,104,42,57.9,55.2,51.7,37.7,89.4,41.3,85.4,75,75.3,67,76.4,30,10,1.8,13,18,23.8,44.2,9.5,178.9,2.4,-0.3,18931,0.5,6,1276.4,51,5.539899826,0.037060037,5.612537384,5.467262268,9.779945374,0.90674746,66.10433197,0.639163077,-0.164926544,0.63571167,1.972316742,1.018854499,1.38713932,0.75258857,0.290755868,0.08993306,0.193607435,1.8069911
Croatia,Europe,867,6,144.5,86,38,61.4,66,42.9,38.6,66.4,33.4,85.4,60.7,44,78.5,86,75,60,2,40,18,37.9,47.1,4.1,101.3,2.8,1.5,24424,11.2,1.1,2104.2,78.4,5.504700184,0.037783645,5.578756332,5.430644035,10.07087517,0.874623716,70.21490479,0.714838803,-0.128538325,0.916495264,1.972316742,1.109024286,1.311264873,0.900575578,0.381456882,0.113998979,0.012325006,1.676029205
Bahrain,Middle East and North Africa,567,4,141.75,54,5,66.4,63.5,50.7,53.6,99.7,62.7,3.7,71.4,71.1,81.6,83.8,75,80,3.1,0,0,5.6,35.3,1.5,70.4,3.2,3.8,48505,1.2,1.4,518.9,90.3,6.227300167,0.081882261,6.387789249,6.066811085,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393471,1.972316742,1.296692252,1.31532371,0.838836372,0.610399902,0.287453711,0.126697257,1.751917362
Russia,Europe,2337,17,137.470588235294,98,41,58.9,52.4,45.1,36.6,89.4,62.3,86.6,78.4,52.5,65.1,77.8,30,30,3.6,13,20,22.2,35.4,144,4007.8,1.5,0.3,27834,5.2,3.7,25284,17.4,5.546000004,0.039609671,5.623634815,5.468365192,10.12887192,0.903150737,64.10045624,0.729892612,-0.151153743,0.864802599,1.972316742,1.126999617,1.378644109,0.68044591,0.399499595,0.099041916,0.045699362,1.815716743
Australia,Asia-Pacific,4559,35,130.257142857143,5,4,80.9,79.1,86.5,79.9,62.8,60.1,86.2,88.3,84.1,86.6,87.6,80,90,1.2,45,30,28.2,36.5,24.8,1246.5,2.3,2.4,50334,5.6,2,46368,41.6,7.222799778,0.041841116,7.30480814,7.140791416,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,1.972316742,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,2.129804134
Norway,Europe,4641,39,119,26,15,73,86.1,81.2,92.3,57.4,25.3,97.3,89.4,53.7,75.4,83.2,75,60,3.4,47.8,23,38,49.9,5.3,380,1.8,1.6,71831,4.2,1.9,-8296.9,36.7,7.487999916,0.034837384,7.55628109,7.419718742,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,1.972316742,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296
United Arab Emirates,Middle East and North Africa,664,6,110.666666666667,9,1,77.6,81.8,87.1,78.8,99.2,68.8,88.9,79.9,81.1,80.9,84.4,40,60,2.8,0,0,8.9,32.3,10.1,686.8,0.5,3.3,67741,1.7,2,10354.2,19.5,6.790800095,0.040698379,6.870568752,6.711031437,11.1099987,0.849181116,67.08278656,0.941345513,0.123450845,0.594502211,1.972316742,1.431086421,1.251170993,0.787814438,0.652936101,0.28065598,0.220213518,2.166965961
Luxembourg,Europe,2178,23,94.695652173913,17,9,75.9,83,72.4,85.8,65.4,46.6,98.9,68.8,45.9,82.6,86,95,80,2,42,18,37.1,42.2,0.6,62.7,3.5,3.8,106374,5.5,2.1,6622.7,23,7.237500191,0.030851794,7.297969818,7.177030563,11.45068073,0.906912208,72.59999847,0.90563643,-0.004620588,0.367084295,1.972316742,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469,2.153700352
France,Europe,94,1,94,71,35,63.8,82.5,66.1,67.9,48.4,3.9,64.9,81.2,45.2,79.1,81,75,70,2,45,33,45.3,56.6,64.8,2835.8,1.8,1.1,43761,9.4,1.2,49794.9,97,6.663799763,0.037576791,6.737450123,6.590149403,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,1.972316742,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338
France,Europe,128,3,42.6666666666667,71,35,63.8,82.5,66.1,67.9,48.4,3.9,64.9,81.2,45.2,79.1,81,75,70,2,45,33,45.3,56.6,64.8,2835.8,1.8,1.1,43761,9.4,1.2,49794.9,97,6.663799763,0.037576791,6.737450123,6.590149403,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,1.972316742,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338
France,Europe,114,4,28.5,71,35,63.8,82.5,66.1,67.9,48.4,3.9,64.9,81.2,45.2,79.1,81,75,70,2,45,33,45.3,56.6,64.8,2835.8,1.8,1.1,43761,9.4,1.2,49794.9,97,6.663799763,0.037576791,6.737450123,6.590149403,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,1.972316742,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338
France,Europe,15,1,15,71,35,63.8,82.5,66.1,67.9,48.4,3.9,64.9,81.2,45.2,79.1,81,75,70,2,45,33,45.3,56.6,64.8,2835.8,1.8,1.1,43761,9.4,1.2,49794.9,97,6.663799763,0.037576791,6.737450123,6.590149403,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,1.972316742,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338
France,Europe,52128,3523,14.796480272495,71,35,63.8,82.5,66.1,67.9,48.4,3.9,64.9,81.2,45.2,79.1,81,75,70,2,45,33,45.3,56.6,64.8,2835.8,1.8,1.1,43761,9.4,1.2,49794.9,97,6.663799763,0.037576791,6.737450123,6.590149403,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,1.972316742,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338
France,Europe,43,0,0,71,35,63.8,82.5,66.1,67.9,48.4,3.9,64.9,81.2,45.2,79.1,81,75,70,2,45,33,45.3,56.6,64.8,2835.8,1.8,1.1,43761,9.4,1.2,49794.9,97,6.663799763,0.037576791,6.737450123,6.590149403,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,1.972316742,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338
France,Europe,36,0,0,71,35,63.8,82.5,66.1,67.9,48.4,3.9,64.9,81.2,45.2,79.1,81,75,70,2,45,33,45.3,56.6,64.8,2835.8,1.8,1.1,43761,9.4,1.2,49794.9,97,6.663799763,0.037576791,6.737450123,6.590149403,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,1.972316742,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338
France,Europe,16,0,0,71,35,63.8,82.5,66.1,67.9,48.4,3.9,64.9,81.2,45.2,79.1,81,75,70,2,45,33,45.3,56.6,64.8,2835.8,1.8,1.1,43761,9.4,1.2,49794.9,97,6.663799763,0.037576791,6.737450123,6.590149403,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,1.972316742,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338
France,Europe,247,0,0,71,35,63.8,82.5,66.1,67.9,48.4,3.9,64.9,81.2,45.2,79.1,81,75,70,2,45,33,45.3,56.6,64.8,2835.8,1.8,1.1,43761,9.4,1.2,49794.9,97,6.663799763,0.037576791,6.737450123,6.590149403,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,1.972316742,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338
France,Europe,6,0,0,71,35,63.8,82.5,66.1,67.9,48.4,3.9,64.9,81.2,45.2,79.1,81,75,70,2,45,33,45.3,56.6,64.8,2835.8,1.8,1.1,43761,9.4,1.2,49794.9,97,6.663799763,0.037576791,6.737450123,6.590149403,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,1.972316742,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338
Germany,Europe,71808,775,92.6554838709678,24,14,73.5,79.9,75.4,81.3,60.8,42.3,91.8,83.3,52.8,77.9,86,80,70,2,47.5,15.8,37.6,43.9,82.7,4170.8,2.5,1.7,50425,3.8,1.7,34726.3,64.1,7.075799942,0.035609804,7.145595074,7.00600481,10.7328186,0.898874462,72.20201874,0.867371082,0.080179386,0.456422031,1.972316742,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,0.309362292,2.295249462
Moldova,Europe,353,4,88.25,97,40,59.1,55.2,29.6,25.4,85.4,59.1,92,67,39,73.5,78,55,50,3.5,18,12,31.5,36.9,3.5,20.1,4,4.4,5661,4.5,6.6,213.8,37.7,5.607500076,0.042275578,5.690360069,5.524640083,8.776714325,0.843313575,65.01301575,0.721609175,-0.037741039,0.913314283,1.972316742,0.707916796,1.237312198,0.713299453,0.389571488,0.174049184,0.014378744,2.370968342
Uzbekistan,Asia-Pacific,172,2,86,140,36,53.3,49.8,34.3,25.2,91.3,67.4,98.7,72.5,58.7,58.9,62.6,10,10,8.7,22,7.5,18.2,33,32.1,222.6,5.3,7.4,6929,7.2,12.5,95.8,24.5,6.257599831,0.05422755,6.36388588,6.151313782,8.740371704,0.926595807,65.10757446,0.974998116,0.248427153,0.501497388,1.972316742,0.696652949,1.434020042,0.716703713,0.693270326,0.363311023,0.280260265,2.073346615
Canada,Americas,8508,100,85.08,8,1,77.7,87,69.4,84.6,76.8,51.3,83.1,81.9,73.7,77.2,86.8,80,80,1.6,33,15,31.7,40.3,36.7,1769.3,3,2.1,48265,6.3,1.6,24243.8,89.7,7.23210001,0.04040546,7.311294556,7.152905464,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,1.972316742,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856,2.195269108
Finland,Europe,1418,17,83.4117647058823,20,11,74.9,89.6,81.2,92.5,66.8,7.2,86.4,89.4,50.3,84.8,86,85,80,2,31.3,20,44.1,55.6,5.5,244,3,0.8,44333,8.6,0.8,1327.9,61.4,7.808700085,0.031156305,7.869766235,7.747633934,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584,1.972316742,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,2.762835026
Austria,Europe,10180,128,79.53125,31,16,72,84.2,71.3,77.4,50.5,24.5,85.5,74.9,68.7,81.5,86,90,70,2,50,25,42.7,50.2,8.8,439.6,2.9,1.3,49869,5.5,2.2,9629.6,78.8,7.294199944,0.033365164,7.359595776,7.228804111,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,1.972316742,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,2.398446083
Pakistan,Asia-Pacific,1938,26,74.5384615384615,131,32,55,41.5,40.2,30.6,80.5,87.6,49.2,56.1,41.8,72.6,64.8,55,40,10.1,30,30,12.4,20.3,197.3,1057,5.3,4.3,5358,4,4.1,2806,67.2,5.69329977,0.048216224,5.78780365,5.598795891,8.482727051,0.689062297,58.25313568,0.734833717,0.04489987,0.745705426,1.972316742,0.616799474,0.872979581,0.469933242,0.405421734,0.228705063,0.122592121,2.976876736
Sri Lanka,Asia-Pacific,143,2,71.5,115,25,56.4,44.7,39.4,28.9,84.9,88.3,30.4,75.1,58.8,70.1,76.2,40,40,4.4,24,28,12.3,19.8,21.4,274.7,3.1,4.2,12811,4.1,6.5,1374.9,79.4,4.327000141,0.053085525,4.431047916,4.222952366,9.389969826,0.825374067,67.20006561,0.837633669,0.081129618,0.859001756,1.972316742,0.897986948,1.19494009,0.792036712,0.528632462,0.252666146,0.049444564,0.611288548
Poland,Europe,2311,33,70.030303030303,46,23,67.8,62.3,44,49.8,74.9,48.8,86.4,65.4,63.9,82.1,86,80,70,2,32,19,33.6,41.3,38,1121,4.6,3.2,29521,4.9,2,6433.5,51.4,6.186299801,0.035500165,6.255880356,6.116719246,10.26512432,0.874257445,69.31113434,0.862055779,-0.205084071,0.686927021,1.972316742,1.16922915,1.310399771,0.868038476,0.557903528,0.063374244,0.160541251,2.056797981
Nigeria,Sub-Saharan Africa,135,2,67.5,111,14,57.3,36.5,34.3,20.5,85,96.5,68.2,51.2,83.3,65,62.4,45,40,11.3,24,30,5.2,10.8,188.7,1118.8,0.8,2.7,5929,7,16.5,3503,23.4,4.724100113,0.05211626,4.826248169,4.621952057,8.57662487,0.73721689,49.86190796,0.759578407,0.033745807,0.861874342,1.972316742,0.645901859,0.986717939,0.167835936,0.435079455,0.221328124,0.047589935,2.219635487
Lithuania,Europe,537,8,67.125,21,12,74.2,73.6,61.2,47.8,86.4,65.1,97.3,75.2,63.6,84.6,86,80,70,2,15,15,30.2,34.1,2.8,91.2,3.8,3,32299,7.1,3.7,595.4,36.5,6.215499878,0.044193108,6.302118301,6.128881454,10.34362602,0.926107109,67.29407501,0.747381449,-0.219725296,0.809583843,1.972316742,1.193559647,1.432865739,0.795421183,0.42046079,0.053691041,0.081350274,2.238146067
Malaysia,Asia-Pacific,2766,43,64.3255813953488,22,6,74,84.1,68.2,55.4,85.6,83.2,82.4,83.9,74.4,78.6,82,60,50,4,25,25,13.8,23.7,32.1,930.8,5.9,5.2,29041,3.4,3.8,9543.4,54.2,5.384300232,0.048802696,5.479953289,5.288647175,10.26251888,0.816509426,67.10215759,0.894626856,0.114726797,0.839302301,1.972316742,1.168421626,1.17400229,0.788511872,0.596941531,0.274886161,0.062163133,1.319420815
Turkey,Europe,13531,214,63.2289719626168,68,33,64.6,55.8,49.8,41.2,76.4,65.1,92.2,66,49.2,70,79.6,70,60,2.7,35,22,25.5,34.1,80.8,2173.2,7,6,26893,11.3,11.1,10864,28.5,5.131800175,0.039838459,5.20988369,5.05371666,10.12941933,0.826313555,66.90281677,0.608830452,-0.171046436,0.748197377,1.972316742,1.127169251,1.197159171,0.781335294,0.25440076,0.085885569,0.120983243,1.564816713
Azerbaijan,Asia-Pacific,298,5,59.6,60,13,65.4,59.1,53.1,44.7,87.5,59.5,89.4,69.5,63.9,63,74.6,60,60,5.2,25,20,15,36.7,9.8,171.8,0.1,1.2,17492,5,13,2867,54.7,5.164800167,0.034197241,5.231826782,5.097773552,9.687726974,0.819308281,65.50839996,0.786824107,-0.240255281,0.55253756,1.972316742,0.990272701,1.180613041,0.731134057,0.467734724,0.040113214,0.247307181,1.507632971
Kenya,Sub-Saharan Africa,59,1,59,130,22,55.1,53.8,46.9,32.1,79.5,77.8,13.8,55.8,63.4,72.7,60.4,55,50,12.3,30,30,15.7,27.2,46.7,163.1,4.8,5.5,3491,11.5,8,671.7,55.6,4.583000183,0.067804985,4.715898037,4.450102329,8.02977562,0.702652037,60.09693146,0.829747558,0.294681519,0.831499159,1.972316742,0.476413399,0.905077755,0.536312759,0.519180536,0.393902093,0.067201078,1.684904575
Colombia,Americas,906,16,56.625,49,8,67.3,59.2,34.3,33.5,74.3,75,79.2,71.4,78.5,75.6,76,80,70,7,33,33,19.9,28.9,49.3,714,1.8,3.2,14485,8.9,4.3,14518,49.4,6.163400173,0.056480873,6.274102688,6.052697659,9.500369072,0.884440243,67.69958496,0.836179912,-0.161235645,0.86457181,1.972316742,0.93220371,1.33445096,0.810020149,0.526890039,0.092374094,0.04584837,2.421656609
Serbia,Europe,900,16,56.25,69,34,63.9,50.1,44.8,37.2,82,45.1,90.1,72.9,67.4,80,77,70,50,6.5,10,15,38.4,42.8,7,105.5,1.8,1.2,15000,14.1,3.1,2866.7,61.5,5.77820015,0.050712325,5.877596378,5.678803921,9.680980682,0.881475747,68.21020508,0.726495862,-0.073676221,0.843509018,1.972316742,0.988181829,1.327448964,0.828403294,0.395428419,0.15028289,0.059447147,2.029040098
Jordan,Middle East and North Africa,274,5,54.8,53,4,66.5,58.4,52.6,50.3,91.4,73.4,60.6,61.8,52.7,85,81.4,70,60,4.3,14,20,16.3,29.8,7.1,89.1,2.3,2.5,12494,14.9,3.3,1664.8,95.6,4.633399963,0.058751218,4.748552322,4.518247604,9.025999069,0.80216372,66.79975128,0.75104779,-0.162565202,0.700344324,1.972316742,0.785179198,1.140118599,0.777624726,0.424855083,0.091494769,0.151878625,1.262258053
Montenegro,Europe,109,2,54.5,92,39,60.5,55.4,51.8,39.5,85.3,32.6,23.2,73.3,73.4,81.6,84.7,75,50,2.6,9,9,36.1,47.4,0.6,11,4.2,3.2,17736,16.1,2.4,545.9,67.5,5.54610014,0.04898582,5.642112255,5.450088024,9.751860619,0.855314612,68.50534821,0.649565637,-0.075600356,0.783121586,1.972316742,1.010150075,1.265657902,0.839028895,0.303223848,0.14901033,0.098435111,1.880565882
Slovenia,Europe,802,15,53.4666666666667,58,29,65.5,76.4,46.5,53.6,58.4,38.3,82.6,79.3,61.2,83.6,86,70,50,2,50,17,37,45.4,2.1,71.1,5,2.5,34407,6.6,1.4,702,75.4,6.363399982,0.043841314,6.449328899,6.277471066,10.39232254,0.939575672,71.1029892,0.936142623,-0.080603383,0.817071021,1.972316742,1.208652496,1.464677691,0.932548046,0.646700144,0.145701498,0.076516323,1.888586521
Bulgaria,Europe,399,8,49.875,37,19,69,62.5,41.9,35.1,90.2,63.9,98.8,62.7,68.4,88,86,70,60,2,10,10,28,34.7,7.1,153.1,3.6,2.7,21687,6.2,1.2,1070.7,23.9,5.101500034,0.04422117,5.188173294,5.014826775,9.869318962,0.937840343,66.80397797,0.745178163,-0.143908441,0.935585141,1.972316742,1.046554685,1.460578918,0.777776897,0.417820066,0.103833713,0,1.294961452
United States,Americas,188018,3870,48.5834625322997,12,2,76.8,79.3,78.6,77.4,75.1,57.1,53.1,83.8,89.4,76.6,86.6,85,80,1.7,37,21,26,37.8,325.9,19390.6,2.3,2.2,59501,4.4,2.1,275381,107.8,6.939599991,0.047316168,7.032339573,6.846860409,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,1.972316742,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741,2.344124794
Portugal,Europe,7443,160,46.51875,62,30,65.3,71.5,64.3,59.5,59.9,35.6,69.8,79.7,44.3,83,86,70,60,2,48,23,34.4,46.3,10.3,313.4,2.7,1.2,30417,8.9,1.6,6945.6,125.6,5.910900116,0.053158198,6.015089989,5.806710243,10.26374245,0.886590719,72.40202332,0.888747811,-0.220714301,0.892629504,1.972316742,1.168800831,1.339530349,0.979315281,0.589895189,0.053036947,0.027733466,1.752558708
Ireland,Europe,3235,71,45.5633802816901,6,2,80.5,85.8,68.4,78,76.3,77.4,89,83.1,75.3,87,86,90,70,2,41,12.5,23,27.4,4.7,357.2,7.8,9.7,75538,6.4,0.3,28974.6,68.5,7.093699932,0.039863452,7.171832085,7.01556778,11.16097832,0.942081571,72.30078888,0.886982977,0.145784974,0.357184172,1.972316742,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262,1.943878174
Venezuela,Americas,135,3,45,179,32,25.9,7.6,13.1,7.9,74.7,58.1,17.6,33.9,28,0,60,0,10,10,34,34,14.9,37.4,31.4,380.7,-14,-7.8,12114,7.7,1087.5,-68,34.9,5.053199768,0.06428051,5.179189682,4.927209854,8.977793694,0.890408158,66.50534058,0.62327832,-0.169090509,0.837038398,1.972316742,0.770238638,1.348546863,0.76702553,0.271717221,0.087179154,0.063624777,1.74484086
